what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1303365100203
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1303365114656
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1303365114875
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1303365114937
started,bundle,org.python.pydev.customizations,1.5.7.2010050621,"org.python.pydev.customizations",1303365115015
started,bundle,org.apache.ivyde.eclipse,2.1.0.201008101807-RELEASE,"org.apache.ivyde.eclipse",1303365119109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365125312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365173000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1303365173125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1303365173125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365179906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365179937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365181203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365361015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365363781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365386406
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1303365387984
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1303365388265
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303365388296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365451687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365454406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365454500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365534609
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303365541640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365561234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365569500
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1303365569531
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303365574515
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303365574687
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303365579468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365589812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365602000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1303365602031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365604687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365649406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1303365652453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365664328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365674406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1303365674453
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303365681578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365687421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365687453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365687468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303365697750
started,bundle,org.python.pydev.debug,1.5.7.2010050621,"org.python.pydev.debug",1303365701609
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1303365701703
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1303365701828
